Entering execution portion
Total time:        52 seconds
Maze size:         1346532 bytes
seed,start x,start y,goal x,goal y,nodes visited by algorithm,iterations,nodes visited by agent,visits/iteration,time(s),optimal length,optimal expanded
0,1,63,90,35,5992,114,319,52,0.766000,175,3384
1,13,79,93,36,3518,83,275,42,0.438000,151,2399
3,15,23,88,92,5409,113,312,47,0.828000,158,1504
7,9,83,75,49,3470,89,270,38,0.360000,136,1937
15,10,69,100,29,6363,107,290,59,0.859000,170,2710
31,23,86,83,40,3102,72,222,43,0.375000,114,896
63,5,62,96,21,7308,125,327,58,0.985000,172,2541
127,20,43,99,75,6084,118,317,51,0.765000,135,1751
255,8,23,81,61,4893,85,256,57,0.735000,137,1745
511,3,41,79,66,4933,107,286,46,0.578000,153,2352
1023,18,15,78,77,3016,66,224,45,0.391000,130,1328
2047,3,85,81,13,6205,109,328,56,0.859000,162,2018
4095,1,49,91,84,6013,110,265,54,0.828000,155,1991
8191,24,97,100,25,5670,95,326,59,0.937000,164,1883
16383,21,88,75,28,7262,116,272,62,1.032000,126,486
32767,8,60,79,27,5089,86,246,59,0.672000,134,1559
65535,10,98,100,21,8115,142,421,57,1.235000,183,2447
131071,15,76,95,27,8500,158,390,53,1.047000,169,3147
262143,19,85,75,46,6145,116,277,52,0.781000,123,1106
524287,18,69,82,2,3624,70,228,51,0.500000,139,1213
1048575,14,1,89,73,10465,169,447,61,1.406000,165,2650
2097151,16,72,84,18,4506,76,241,59,0.672000,134,1057
4194303,23,16,90,51,6968,132,322,52,0.969000,134,1796
8388607,3,83,97,16,8092,118,283,68,1.328000,193,3837
16777215,17,53,99,41,5727,108,272,53,0.719000,154,2552
33554431,4,24,83,55,5117,105,310,48,0.657000,148,2150
67108863,24,81,82,42,2938,79,223,37,0.328000,117,1134
134217727,16,70,81,18,4177,88,255,47,0.500000,141,1403
268435455,22,51,76,1,4153,72,241,57,0.547000,116,997
536870911,1,90,99,18,8526,138,359,61,1.313000,194,2971
1073741823,17,76,95,13,11067,159,369,69,1.719000,173,2782
2147483647,0,52,86,6,5236,114,319,45,0.657000,182,2645
4294967295,23,67,97,6,5223,76,227,68,0.875000,151,1458
8589934591,15,85,83,31,5796,127,344,45,0.641000,126,933
17179869183,16,77,80,23,3624,73,226,49,0.500000,134,1547
34359738367,21,57,89,5,3561,65,200,54,0.594000,136,1266
68719476735,11,47,82,71,6359,127,333,50,0.750000,129,1632
137438953471,13,91,78,19,6091,100,291,60,1.032000,141,938
274877906943,6,88,96,20,6398,86,274,74,1.078000,162,1100
549755813887,17,76,89,47,2780,63,205,44,0.312000,129,1466
1099511627775,12,74,76,4,4258,83,268,51,0.609000,154,2130
2199023255551,7,60,87,47,3859,80,225,48,0.500000,149,2225
4398046511103,0,13,76,93,5943,99,313,60,0.828000,160,1088
8796093022207,19,25,75,73,2406,58,158,41,0.437000,110,789
17592186044415,6,44,97,60,7958,146,341,54,1.047000,159,2571
35184372088831,4,59,82,20,6135,123,321,49,0.766000,149,2056
70368744177663,6,40,86,50,7679,150,362,51,0.906000,156,2540
140737488355327,19,2,90,96,9921,141,413,70,1.703000,177,1696
281474976710655,10,13,95,71,8645,143,377,60,1.141000,171,2758
562949953421311,22,13,78,97,5232,102,302,51,0.719000,160,2358
